BS,RUN_0,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,RUN_7,RUN_8,RUN_9
16,0.0,1.2173528775437051e-14,0.0,0.0,0.0,0.0,7.62034936139321e-08,0.0,0.0,0.0
32,7.069094590028726e-89,0.0,0.0,8.881784197001252e-16,0.0,0.0,1.7672736475071816e-89,0.0,4.9960036108132044e-12,0.0
64,0.0,6.143368541833959e-14,3.552713678800501e-15,8.881784197001252e-16,0.0,8.995471034722868e-16,4.4448021349988696e-24,8.185452315956354e-16,1.792387669531974e-05,9.47765421699387e-10
128,0.003554782991664354,0.007650777110450493,1.4210854715202004e-14,0.00020549966971703445,0.0001764902845076487,0.001766499851613493,0.0,0.016312858552908205,7.993605777301127e-15,0.0
256,7.993605777301127e-15,0.07894417842962387,7.993605777301127e-15,0.1788505279252064,0.0,0.04429810635429021,8.354141318803841e-05,0.0,1.7985612998927536e-12,0.0
512,3.552713678800501e-15,0.16831250288626975,0.42571973583312683,0.0,0.00012843184186962046,0.17414017364991707,0.31853621081632255,6.358601944230573e-05,1.5010215292932116e-13,0.4306881580146751
1024,0.1657412803812244,0.25039712451695095,5.684341886080802e-14,3.552713678800501e-15,0.0,7.993605777301127e-15,0.0014519266347004394,1.7868893564809696e-07,0.2175300140289105,0.25115473983447956
