BS,MSE,TIME
2,0.6932399496874064,58.06370973587036
2,0.4828690240921085,58.211787700653076
2,0.355318275834832,57.9394793510437
2,0.5281791614002501,65.16872072219849
2,0.7224276464666454,68.89812135696411
2,0.409440783442087,68.64001703262329
2,0.2824048213502346,68.9820168018341
2,0.46144944814204303,69.14674258232117
2,0.3928958095777102,68.93093633651733
2,0.8029048081406406,68.51591038703918
4,1.1845126177174938,37.18342185020447
4,0.2672696594455855,37.04042029380798
4,1.1283647768167855,37.00953912734985
4,0.20352055091494167,37.1032440662384
4,0.2412223583506556,36.87870645523071
4,0.8252363164369007,37.22022771835327
4,0.17860589527989706,37.78858017921448
4,0.2805422746146379,38.78043532371521
4,0.1457981936792462,38.85391712188721
4,0.3631010443545988,39.00152778625488
8,0.3100302364451638,24.899783611297607
8,0.3077518259706657,25.070955514907837
8,0.14607199646351754,25.123411178588867
8,0.22409153637263862,25.380130529403687
8,0.20339223598714778,24.943605422973633
8,0.12569864171156234,24.941272735595703
8,0.24148319782960442,25.270838022232056
8,0.11584530527724955,24.80058240890503
8,0.19012482661494787,25.35898232460022
8,0.11719233557906264,24.82718539237976
16,0.39910494773823013,18.123433113098145
16,0.270052227739033,18.041760206222534
16,0.17477515090780238,18.64526915550232
16,0.29173572739610626,18.841614961624146
16,0.17267815453569554,18.6291823387146
16,0.12237383703557818,18.788757801055908
16,0.18535760987879488,18.676085233688354
16,0.2722177091193752,18.349223136901855
16,0.13259016841275081,18.609812259674072
16,0.09998463922492191,18.804924726486206
32,0.4546943166378498,15.246230840682983
32,0.35321879695965036,14.877926588058472
32,0.19307677882547422,14.956661462783813
32,0.1711931513555138,15.11861515045166
32,0.11777141879620376,14.967271566390991
32,0.11379974996301828,15.019927024841309
32,0.1276040458231681,15.30154299736023
32,0.11809911168630952,15.05690312385559
32,0.09959330689204318,15.135910034179688
32,0.180388741030632,16.386175870895386
64,0.5791206277665788,14.082196474075317
64,1.7516199208678576,14.228546142578125
64,0.2928825163642555,14.266847848892212
64,0.48382773555313513,14.136229038238525
64,0.20283974526331058,13.908776760101318
64,0.21130124365021574,14.069573879241943
64,0.15983352861796785,13.973601818084717
64,0.1508960311486214,14.075894355773926
64,0.27281167923644933,14.014462232589722
64,0.11873308831318173,13.889539241790771
128,1.0018506444343427,13.0205659866333
128,0.5466886300028285,13.055267333984375
128,0.43539963432308015,12.99425196647644
128,0.809724597793198,13.126405715942383
128,0.2869178873741897,13.420104503631592
128,0.3388699112160176,13.563758134841919
128,0.35405046249667593,13.579715967178345
128,1.0495500435609375,13.56897258758545
128,0.20299713867421326,13.501219272613525
128,0.1697653334059184,13.621568441390991
256,1.5806615247435758,13.433057069778442
256,1.1023487257959141,13.312400579452515
256,1.2644954912878474,13.164303302764893
256,0.8399736400619539,13.47187066078186
256,0.5874804807372682,13.421138763427734
256,0.4390959652669032,13.770302772521973
256,0.34591970196831323,13.541847229003906
256,0.32058374639964515,13.505397081375122
256,0.45917350043708055,13.685375452041626
256,0.26583623580137217,13.98363447189331
512,3.235405609447907,13.716705799102783
512,1.6864412736701289,13.581277132034302
512,1.1379181038045492,13.555010080337524
512,1.069684584954817,13.596250295639038
512,0.6953010075514573,13.562896966934204
512,0.7012159952910116,13.618596315383911
512,0.7884942885202015,13.576012372970581
512,1.8969181295102007,13.458860635757446
512,0.42952128808230317,13.549470901489258
512,0.5451742255991858,13.943936586380005
1024,7.698668269471396,14.109127521514893
1024,3.238696566280359,13.931329011917114
1024,2.3245637374296924,14.102311134338379
1024,1.858635584635201,13.770104885101318
1024,1.5711982248602163,13.69663119316101
1024,1.381829408437161,14.027034044265747
1024,1.1624883969295785,14.054648399353027
1024,1.062685008234337,13.90358567237854
1024,1.0164062639398856,13.83055067062378
1024,0.8802367555995481,13.919787406921387
2048,22.86099172354234,14.110996723175049
2048,5.066030367186281,20.927366018295288
2048,3.119128822904056,20.872910499572754
2048,2.443920791732388,20.814340114593506
2048,2.0404234509457004,20.965935230255127
2048,1.851699229634496,21.06067991256714
2048,1.52141539712708,20.80686902999878
2048,1.3553478517431483,20.89016628265381
2048,1.2262080520763756,20.53947114944458
2048,1.1163800813761318,21.049318552017212
