BS,RUN_0,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,RUN_7,RUN_8,RUN_9
16,15523.813948852097,27167.43163208127,8320.496136498254,12596.9293441112,22034.150156103617,8225.002801577022,7773.247204071972,11714.124436633298,8210.904218892607,11999.582725274982
32,16846.254070276642,10500.701443709986,10132.068303596332,14108.935025068069,9661.932254663405,11275.062918736827,11355.239182984207,11942.36303811601,15658.322072593692,12002.765020718192
64,13655.382041782317,20094.64247023089,11496.803230299029,13846.75028018194,16428.519572876543,13874.935028942255,12516.671519579877,17007.42062140582,17564.161367595614,41562.43252636151
128,21145.79597340357,16375.216867306348,15395.322396659461,15681.216231319273,17241.42439777405,17198.69136785013,14947.282931912472,16213.239696177758,18341.541090045786,15492.84747136352
256,17849.229250873177,28553.0682476121,19031.940310353762,17825.159749786104,19402.152388173392,21246.830629102795,19108.916196257742,17839.878381148337,18482.113255975528,22008.306886958126
512,27882.838966718693,27426.664282188987,28839.69071576116,28824.33979958303,23318.637796529376,26482.63149210169,33659.7372590138,27737.938639170887,26088.693133017932,22720.080120533174
1024,41166.03416967941,34682.54414153573,39027.09859289274,38462.892301309774,50359.84113460845,37564.86656350416,38167.45658496321,36627.653730057355,37372.099764920065,41501.516843874306
