BS,MSE,TIME
16,0.0,27.829128980636597
16,0.0,29.41747784614563
16,0.0,29.37120294570923
16,0.0,29.24454140663147
16,0.0,29.400658130645752
16,0.0,29.082077503204346
16,0.0,29.434357166290283
16,0.0,29.11614751815796
16,0.0,29.304092168807983
16,0.0,29.49075174331665
32,0.0,24.963319540023804
32,0.0,24.9527690410614
32,0.0,25.121569633483887
32,0.0,24.72815489768982
32,0.0,24.97702121734619
32,0.0,24.929975032806396
32,0.0,25.03881072998047
32,0.0,25.05616021156311
32,0.0,25.369434118270874
32,0.0,25.173283576965332
64,7.226255149817007e-10,22.65419316291809
64,3.552713678800501e-15,22.568975925445557
64,3.552713678800501e-15,22.63261127471924
64,3.552713678800501e-15,22.565889835357666
64,0.0,22.636034727096558
64,0.0,22.538707494735718
64,0.0,22.621391534805298
64,0.0,22.622750520706177
64,0.0,22.699517011642456
64,0.0,22.52377700805664
128,8.881784197001252e-16,21.689027786254883
128,8.881784197001252e-16,21.558374881744385
128,8.881784197001252e-16,21.62647247314453
128,7.993605777301127e-15,21.55838894844055
128,8.881784197001252e-16,21.524485111236572
128,8.535394613318203e-11,21.604174852371216
128,1.2825296380469808e-12,21.559526205062866
128,1.4210854715202004e-14,21.550296306610107
128,8.881784197001252e-16,21.544458627700806
128,8.881784197001252e-16,21.552367210388184
256,0.21130996770601237,21.31350588798523
256,0.00015944796891253788,21.27758002281189
256,1.8636628633204566e-05,21.315675497055054
256,0.013937662280505412,21.26615333557129
256,1.5712522838384756e-11,21.29365563392639
256,7.195291118478053e-12,21.358344316482544
256,0.0004559431873194228,21.307343006134033
256,2.4029077394516206e-12,21.33983087539673
256,8.546390191099817e-10,21.28641152381897
256,2.2650626760878368e-10,21.32607078552246
512,0.3354220651991149,21.26645851135254
512,0.3335617923852432,21.25100326538086
512,0.33108789780023073,21.266669988632202
512,0.3280911459279565,21.231225967407227
512,0.32461677298675795,21.252521276474
512,0.32069390638128326,21.23102045059204
512,0.316342751887678,21.225504398345947
512,0.3115783918100625,21.228888988494873
512,0.3064131867898858,21.29008436203003
512,0.300857809430056,21.28921365737915
1024,0.37236803030313936,21.53430438041687
1024,0.11973397437705646,21.640352487564087
1024,0.11932055801495613,21.388782262802124
1024,0.11882202021526211,21.368770837783813
1024,0.11825058329805316,21.395954132080078
1024,0.11761219937236334,21.41408896446228
1024,0.11691123495325774,21.357863426208496
1024,0.11615109106186594,21.435985565185547
1024,0.1153344126116771,21.319727659225464
1024,0.1144634384797394,19.667206287384033
