BS,RUN_0,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,RUN_7,RUN_8,RUN_9
2,1.1486658080862238,0.785853652043076,2.0776044343711604,0.6763689344589264,0.6800052422730747,0.8169414593330832,1.9455388314305455,0.9224838846034007,1.5982722597591927,2.047112925790741
4,1.4967418352920925,0.5572813789157226,0.674328234043582,1.9007302936829393,0.5641341040939384,0.5047113367762737,0.5563035924176496,3.043665700077712,0.5455160731259355,0.8534750751009036
8,0.41156422001008175,0.5642681196633581,0.49442608324670584,0.48664582653709804,1.1134775354271478,0.32833558837469173,0.3971022383469579,0.4114960973301597,0.5911250271483804,0.46815728066138107
16,0.6165341999708543,0.3424969518436032,0.4785001383664625,0.785569907305765,0.3890376128194941,0.30692241563014977,0.4520253880691846,0.7799229422125776,0.3324468742825964,0.7252076025864007
32,0.9039987905903035,0.34091182625203653,1.2681202897429815,0.5834736837783945,0.42650241018916857,0.41487434485960695,0.8097493630987898,0.4776664465315378,0.33063533674955103,0.5877172753476799
64,0.7267917069964067,0.43900072991507916,2.5671415297956104,1.3500608496461368,0.7405767081818078,0.5697641262647216,1.6454282708906889,0.4370933894713191,0.44926943196320646,0.7773452231706062
128,0.7566016412770695,0.7705531757537479,0.7040359116587599,0.5938609485816428,1.5460578951357717,1.2762509739335233,1.2043091565461073,3.130772756372478,2.5532725536774987,0.8179946035439599
256,1.3371646161287616,1.1433662850086825,1.5081794656404164,1.23037604025754,1.565467755260659,1.161933415290744,1.184700880454142,1.2558313101323526,1.2652756119657658,1.123779520747607
512,1.774799559900834,1.7064351634710373,1.721793271242136,1.3807635791468027,1.9388903544599772,1.680814082513719,1.9574302475828764,2.009663344061776,1.7251236669630816,2.2983940754106604
1024,2.756713199447014,2.900326423070226,2.861467206713598,3.072683947892506,2.926801728316126,3.030312131301877,3.0237617177315403,2.9882004184073887,2.3334257608492366,3.7908773715642674
2048,4.292176722017594,2.9016800184390856,5.673986848777883,6.050524649410634,2.894451757817081,4.5480124730130385,4.017303302457421,4.485681095343512,5.159544350522119,6.26728347570785
