BS,MSE,TIME
16,160.5323923523208,11.777977705001831
16,1.1633154974470616,10.879706859588623
16,0.6855285410682891,10.933444023132324
16,0.3362961896627934,11.021944046020508
16,0.28624807114805023,11.2846040725708
16,0.25985996696616004,11.090810060501099
16,0.2527519150628971,11.178524017333984
16,0.16278903095253763,10.982999563217163
16,0.140513323219033,11.255651712417603
16,0.14841501072938976,11.185069799423218
16,0.11445543660863297,10.990033626556396
16,0.10317374824208211,11.357815742492676
16,0.10093847629475122,11.091563701629639
16,0.11562161609094093,11.009885549545288
16,0.08736244885446522,11.122158527374268
32,143.6591989352975,9.074453830718994
32,1.6461053266864913,8.819253206253052
32,1.0134425996201712,9.036118984222412
32,0.6673004444705318,8.773836135864258
32,0.43467844743531486,9.008145093917847
32,0.350468810421569,8.998871088027954
32,0.4125820148575672,8.878720045089722
32,0.6275175051151552,8.877304553985596
32,0.21520057345450186,9.007749795913696
32,0.18961182504836974,9.018854856491089
32,0.18262842952257527,8.94421100616455
32,0.2167274509493469,8.56186294555664
32,0.2562302918906914,8.775745868682861
32,0.1768927216844607,8.838555574417114
32,0.17521913880612738,8.895273208618164
64,134.25901174920605,7.819886922836304
64,1.69822198839423,7.611323118209839
64,1.2090138304342086,7.682754039764404
64,0.8303471332328505,7.795278072357178
64,0.6834581151725957,7.78996467590332
64,0.6872069593680241,7.939410448074341
64,0.3808243635647156,7.585844039916992
64,0.5539219808064566,7.405364274978638
64,0.26182790557186236,7.6647796630859375
64,0.23414584598669852,7.662684917449951
64,0.21136277419438712,7.806977987289429
64,0.3320984763622046,7.718209981918335
64,0.18736382600453347,7.734812021255493
64,0.18280649561957263,7.73868203163147
64,0.1568609903273313,7.6094746589660645
128,195.91578891425044,7.420997858047485
128,2.3904674419726684,7.345465421676636
128,1.4510891492369458,7.21309494972229
128,1.1319588499449353,7.140607833862305
128,0.8765115087419221,7.329729080200195
128,0.7798433473877214,7.274804592132568
128,0.6274469755818598,7.228901386260986
128,0.5510040635341584,7.16003155708313
128,0.5008966451182002,7.1861653327941895
128,0.44570390458602477,7.326962471008301
128,0.3879476060175356,7.453320503234863
128,0.34874752258656444,7.264502763748169
128,0.48018155705395266,7.3336217403411865
128,0.2914093256226772,7.239121198654175
128,0.268951460286163,7.277730703353882
256,106.70771336652132,7.116562366485596
256,3.8813344704828165,7.0958216190338135
256,2.651480751170164,6.977204084396362
256,2.0739874438229995,7.04054856300354
256,1.6938173108703096,7.583108186721802
256,1.4390753512968288,7.270646810531616
256,1.2912148948239586,7.114593267440796
256,1.130315043841405,7.180250644683838
256,0.9877542881721143,7.160550355911255
256,0.8991692606045505,7.132449626922607
256,0.8324577661966516,7.179413557052612
256,0.7447616542263513,7.221114873886108
256,0.6942597913382629,7.125873804092407
256,0.6216354678604302,7.075467586517334
256,0.5855301952770653,7.032603979110718
512,109.52308156795195,7.089226961135864
512,18.492796741855265,6.9957404136657715
512,6.602003146936059,6.995605230331421
512,4.596651485469008,7.006737947463989
512,3.690982411118329,6.9646031856536865
512,3.2047278482535244,6.970922946929932
512,2.7070239474688482,7.024527549743652
512,2.3944635152612905,7.026130676269531
512,2.169340814660126,7.10435938835144
512,1.967778981848263,6.969362497329712
512,1.8180589860841865,7.050305128097534
512,1.7235807216838246,7.080164432525635
512,1.5491895433255551,6.96052098274231
512,1.4373754906075333,7.003567457199097
512,1.3460370064037572,7.003971576690674
1024,108.28377294976707,7.230300188064575
1024,25.427665356313053,7.160251140594482
1024,10.825383479534695,7.217019319534302
1024,6.52072809250531,7.1687939167022705
1024,5.238631240782123,7.246951341629028
1024,4.472738249727165,7.165147542953491
1024,3.8768626882477664,7.156785249710083
1024,3.457387824541545,7.289170503616333
1024,3.1552364692834343,7.398102283477783
1024,2.9162574205190865,7.119608163833618
1024,2.6709537466474607,7.272099256515503
1024,2.4770991645344047,7.326566934585571
1024,2.351206782933347,7.235595226287842
1024,2.1869302515022695,7.178491115570068
1024,2.064998921390566,7.265809774398804
